word,is_he
,0
ואכ'ברנא,0
בהד'ה,0
אלאיאת,0
שרף,0
אלאנביא.,0
פמנהא,0
אלאיאת,0
לה,0
חתי,0
יצח,0
ענדה,0
אן,0
אלכלאם,0
אלד'י,0
יסמעה,0
הו,0
מן,0
ענד,0
אללה,0
כמא,0
יט'הר,0
למוסי,0
עמוד,1
ענן.,1
וכד'לך,0
לאהרן,1
ושמואל,1
חתי,0
יעתקדו,0
אן,0
אל[איאת],0
ואלמעג'זאת,0
אלתי,0
קארנת,0
מכ'אטבתהם,0
ליצח,0
ענדהם,0
אן,0
אלכלאם,0
אלד'י,0
יסמעונה,0
מן,0
ענד,0
אללה,0
אד',0
חדת'ת,0
מע,0
אבתדאיה,0
ת'ם,0
ארתפעת,0
מע,0
אנקצ'איה,0
כדכתיב,1
משה,1
ואהרן,1
בכהניו,1
ושמואל,1
בקוראי,1
שמו,1
בעמוד,1
ענן,1
ידבר,1
אליהם,1
וג'.,1
וכד'לך,0
קצהֿ,0
אלסנה,0
ומראה,1
[הקשת],1
פי,0
קצהֿ,0
יחזקאל.,1
ואיצ'א,0
איאת,0
ללקום,0
[אלד'י,0
ארסל,0
אליהם],1
לכי,0
אד'א,0
ראו,0
[אלאיאת],0
עלמו,0
אנה,0
אנמא,0
[…],0
יפעלהא,0
ליתחקק,0
באנה,0
רסולה,0
[…],0
ותכון,0
הד'ה,0
אלאיאת,0
עלי,0
ג',1
צ'רוב,0
נקמהֿ,0
ורחמהֿ,0
ולא,0
נקמהֿ,0
ולא,0
רחמהֿ.,0
[ואלד'י],0
הו,0
רחמה,0
כאלמן,0
ואלבאר,0
ואלסחאב.,0
ואמא,0
אלד'י,0
הו,0
נקמה,0
[כאלעשר,0
אלצ'רבאת,0
אלד'י,0
צ'רב,0
פרעון].,0
ואמא,0
אלד'י,0
הו,0
לא,0
רחמהֿ,0
ולא,0
נקמהֿ,0
כקלב,0
אלעצא,0
חיהֿ,0
ועאד,0
תסאוי,0
[עצ'ו],0
[…],0
אלג'סם,0
אלצחיח,0
[…],0
וקלב,0
ג'ז,0
מן,0
אלמא,0
עלי,0
[ידי,0
מוסי,0
דמא],0
ומא,0
אשבה,0
ד'לך.,0
והד'א,0
אלקסם,0
אלת'אלת',0
אנמא,0
[יכון],0
לתצדיק,0
אלרסול,0
פקט,0
לא,0
יאלם,0
אנסאן,0
ולא,0
ילד'וה.,0
ואן,0
אלרסול,0
ינבה,0
עלי,0
חדות',0
אלאיה,0
קבל,0
חדות'הא,0
[לכי],0
ינסבוהא,0
אליה,0
כמא,0
יקול,0
בזאת,1
תדע,1
כי,1
אני,1
יי.,1
וקאל,0
בזאת,1
תדעון,1
כי,1
יי,1
שלחני,1
ואמת'אל,0
ד'לך.,0
(צוקר-,1
"בראשית,",1
עמ',1
9),1
