word,is_he
,0
תם,0
קאל,0
ויאמר,1
וקאל,0
אללה,0
למוסי,0
קאילא:,0
ואתה,1
ואנת,0
מר,0
בני,1
אסרא',0
וקול,0
להם,0
[אמא,0
סבותי],0
פאחפט'והא,0
פאנהא,0
עלאמה,0
ביני,0
ובינכם,0
עלי,0
מר,0
אלדהר,0
לאגיאלכם,0
לתעלמו,0
אני,1
אללה,0
מקדסכם:,0
ושמרתם,1
פאחפט'ו,0
אלסבת,0
פאנהא,0
קדס,0
לכם,0
ומן,0
בדלהא,0
פליקתל,0
קתלא,0
כל,0
מן,0
עמל,0
פיהא,0
צנעה,0
ינקטע,0
דלך,0
אלאנסן,0
מן,0
בין,0
קומה:,0
ושמרו,1
ויחפטו,0
בני,1
אסרא',0
אלסבת,0
פתציר,0
אלסבת,0
לאגיאלהם,0
עהד,0
אלדהר,0
ביני,1
פי,0
מא,0
ביני,1
ובין,0
אסרא',0
הי,0
עלאמה,0
אלדהר,0
לאן,0
פי,0
ו',1
איאם,0
צנע,0
אללה,0
אלסמא,0
ואלארץ',0
ופי,0
אליום,0
אלז,0
עטלהא,0
ואראחהא,0
קד,0
קדמנא,0
אן,0
מעני,0
ק'ו,0
ואתה,1
אן,0
יבתדיהם,0
באלסבת,0
קבל,0
אלמשכן,0
ואמא,0
זיאדתה,0
אך,1
א'ש',1
ומן,0
אלעאדה,0
אן,0
נפסרהא,0
תבעיצא,0
פהי,0
תכון,0
עלי,0
צ'רבין,0
אחדהמא,0
תבעיץ',0
למעשה,1
משכן,1
ותאכיד,0
ללסבת,0
ש,0
[…],0
אצנעו,0
אלמסכן,0
פי,0
אלו',0
איאם,0
ואמא,0
אלסבת,0
פבחלהא,0
לא,0
תצנעו,0
פיהא,0
ואלאכר,0
תאכיד,0
פי,0
אלסבת,0
תבעיץ',0
אלקרבנות,0
וכאצה,0
אלתמידין,0
אן,0
יקול,0
וקפו,0
ען,0
גמיע,0
אלאעמאל,0
פי,0
אלסבת,0
אלי,0
ואגבאת,0
אלמשכן,0
וגעל,0
אלסבת,0
עלאמה,0
כקו',0
כי,1
אות,1
היא,1
אן,0
גמיע,0
אלמצות,0
ועלי,0
אן,0
גמעת,0
לנא,0
הי,0
עלאמאת,0
ללדין,0
ולכן,0
אלסבת,0
אשהרהא,0
אמא,0
למן,0
פי,0
אלחצ'ר,0
פגלקהם,0
אלדכאכין,0
ואגתמאעהם,0
ואמא,0
למן,0
פי,0
אלספר,0
פגלוסהם,0
ען,0
ספר,1
אלאנהאר,0
ואלבר,0
ואמא,0
אלבחר,0
נפסה,0
פאדא,0
כאן,0
פי,0
אלמלאחין,0
גוים,1
פיגוז,0
לליהודי,0
אלמסיר,0
מעהם,0
פי,0
יום,0
אלסבת,0
לאן,0
אלכתא',0
קאל,0
ען,0
שלמה,1
וישלח,1
לו,1
חירם,1
ביד,1
עבדיו,1
אניות,1
ועב',1
יוד',1
הים,1
ויב',1
עם,1
עב',1
של',1
אופ',1
ולא,0
יחל,0
אן,0
יעמל,0
עבידנא,0
בגיר,0
מא,0
נעמל,0
נחן,0
ומעני,0
אכר,0
פי,0
תסמיה,0
אלסבת,0
אות,1
אנה,0
מן,0
כרג,0
ען,0
דין,0
אלאמה,0
והודא,0
ידעי,0
אנה,0
ימסך,0
אלדין,0
פאלסבת,0
מחנתה,0
פאן,0
כאן,0
יחפט'הא,0
הו,0
מעני,0
ואלא,0
פליס,0
הו,0
מעני,0
וקד,0
כאן,0
אלמן,0
זיאדה,0
עלי,0
אלאות,0
אלעאמיה,0
מן,0
אנה,0
יכון,0
יום,0
אלגמעה,0
צעפא,0
וינקטע,0
פי,0
אלסבת,0
ואלבאקי,0
פלא,0
יתדור,0
פי,0
אלסבת,0
פכל,0
ואחדה,0
מן,0
הדה,0
אות,1
מפרדה,0
וק'ו,0
ושמרתם,1
א',1
הש',1
יוגב,0
אלאסתט'האר,0
להא,0
מן,0
אכר,0
יום,0
אלגמעה,0
ובגז,0
מן,0
אול,0
לילה,0
אלאחד,0
כסביל,0
כל,0
מחפוט',0
יחפט',0
בגירה,0
כאלמאל,0
פי,0
כיס,0
פי,0
צנדוק,0
וכאלתוב,0
פי,0
מנדיל,0
פי,0
תכת,0
ומא,0
אש',0
דלך,0
וק'ו,0
כי,1
קדש,1
היא,1
יוגב,0
אן,0
יכון,0
כל,0
מא,0
אכתסבה,0
אליהודי,0
פי,0
אלסבת,0
מן,0
עמל,0
חראם,0
אן,0
יקימה,0
מקאם,0
אלקדש,0
אלדי,0
לא,0
וגה,0
לקרבאנה,0
ויצ'יעה,0
ולא,0
יצדק,0
בה,0
עלי,0
צעיף,0
אלא,0
יתלפהא,0
תלאפא,0
ואמא,0
מא,0
יכסבה,0
מן,0
עמל,0
חלאל,0
פי,0
אלסבת,0
פהו,0
חלאל,0
כמא,0
עלמונא,0
בני,1
לוי,1
יכדמון,0
אלקדס,0
ואכתר,0
כדמתהם,0
פי,0
אלסבת,0
ויאכדון,0
דלך,0
אלמעשר,0
אגרתהם,0
כ'ק',0
כי,1
שכר,1
הוא,1
לכם,1
וג'ו,1
וקו',0
מחלליה,1
מות,1
יומת,1
אלחילול,0
בפעל,0
ואחד,0
מן,0
אצול,0
אלצנאיע,0
אלתי,0
הי,0
ל'ט',1
פעליהא,0
תגב,0
סקילה,1
ואמא,0
סאיר,0
אלחרכאת,0
פאנמא,0
יגב,0
עליהא,0
מלקות,1
ואדא,0
כאן,0
קו',0
מות,1
יומת,1
יעני,0
