word,is_he
,0
ויעש:,1
וצנע,0
בצלאל,1
צנדוק,0
מן,0
כשב,0
אלסנט,0
דראעאן,0
[ונצף],0
טולה,0
ודראע,0
ונצף,0
ערצ'ה,0
ודראע,0
ונצף,0
סמכה:,0
ויצפהו:,1
וגשאה,0
בדהב,0
כאלץ,0
דאכלה,0
וכארגה,0
וצנע,0
לה,0
זיג,0
דהב,0
מסתדירא:,0
ויצק:,1
וצאג,0
לה,0
ד',1
חלק,0
מן,0
דהב,0
[פי],0
ד',1
ארגלה,0
חלקתין,0
מן,0
גאנבה,0
אלואחדה,0
וחלקתין,0
מן,0
גאנבה,0
אלתאניה,0
[ויעש,1
וצנע],0
דואהק,0
מן,0
כשב,0
אלסנט,0
וגשאהא,0
בדהב:,0
ויבא:,1
ואדכלהא,0
פי,0
אלחלק,0
עלי,0
גאנב,0
אלצנדוק,0
ליחמל,0
בהמא:,0
ויעש:,1
תם,0
צנע,0
גשא,0
מן,0
דהב,0
כאלץ,0
דראעין,0
ונצף,0
[טולה],0
ודראע,0
ונצף,0
ערצ'ה:,0
ויעש:,1
וצנע,0
כרובין,1
מן,0
דהב,0
מצמתין,0
צנעהמא,0
מן,0
טרפי,0
אלגשא,0
כרוב,1
ואחדהמא,0
מן,0
טרף,0
אלאימן,0
ואלאכר,0
מן,0
טרפה,0
אלאיסר,0
כדאך,0
מן,0
טרפיה:,0
ויהיו:,1
פצאר,0
באסטא,0
אגנחתהמא,0
אלי,0
פוק,0
מט'לין,0
בהא,0
עלי,0
אלסגף,0
וגוהמא,0
אלואחד,0
אלי,0
אלאכר,0
ומוגהה,0
אלי,0
אלגשא:,0
קד,0
ינבגי,0
אן,0
נעלם,0
אן,0
בית,1
שני,1
[לא],0
יכון,0
ארון,1
ולא,1
פרכת,1
ולא,1
כרובים,1
אד,0
כלהא,0
כקטעה,0
ואחדה,0
ואנמא,0
כאן,0
כהן,1
[גדול],1
אדא,0
דכל,0
יום,1
הכפורים,1
ליבכר,0
יצ'ע,0
אלמחתה,0
עלי,0
חגר,0
כאן,0
מרתפעא,0
מן,0
אלארץ,0
ג',1
אצאבע,0
והו,0
כאן,0
מכאן,0
שני,1
בדי,1
הארון,1
כמא,0
נצת,0
אלמשנה,0
משניטל,1
הארון,1
אבן,1
היתה,1
שם,1
מימות,1
נביאים,1
הראשנים,1
ושתייה,1
נקראת,1
גבוהה,1
מן,1
הארץ,1
ג',1
אצבעות,1
ועליה,1
היה,1
נותן,1
והדא,0
אלחגר,0
נקל,0
אלקדמא,0
אנה,0
אול,0
חגר,0
כלקת,0
פי,0
אל[עאלם],0
ופיה,0
יקול,0
או,1
מי,1
ירה,1
אבן,1
פנתה,1
ומנה,0
אנבסטת,0
אלארץ',0
פי,0
אלד',0
גהאת,0
ולדלך,0
[סמית],0
אבן,1
שתיה,1
[יעני],0
אלדי,0
פיה,0
חגר,0
אלסני,0
ותני,0
בצנעה,0
אלמאידה,0
פקאל:,0
ויעש:,1
[וצנע,0
אלמאידה,0
מן,0
כשב,0
אלסנט],0
דראעין,0
טולהא,0
וד'ראע,0
ערצ'הא,0
ודראע,0
ונצף,0
סמכהא:,0
ויצף:,1
וגשאהא,0
בדהב,0
כאלץ,0
וצנע,0
להא,0
זיג,0
דהב,0
יחיט,0
בהא:,0
ויעש,1
וצנע,0
להא,0
ד',1
חלק,0
מן,0
דהב,0
ווצעהא,0
פי,0
אלד',0
אלגהאת,0
לד',1
ארגלהא:,0
לעמת:,1
