word,is_he
,0
וממא,0
וגד,0
לה,0
פי,0
הד'ה,0
אלפרשה,0
איצ'א,0
אן,0
אלסבב,0
פי,0
מא,0
יכתב,0
מיום,1
הראשון,1
עד,1
יום,1
השביעי,1
חסר,1
יוד,1
אנמא,0
יומי,0
בה,0
אלי,0
עשר,0
סאעאת,0
סוא,0
אלשבעה,0
איאם,0
יחרם,0
פיהא,0
אכל,0
אלכ'מיר.,0
מנהא,0
תמניה,0
פי,0
אלמעל,0
וסאעה,0
מן,0
אול,0
לילהֿ,0
כאמס,0
עשר,0
לא,0
יג'וז,0
אן,0
יוכל,0
פיהא,0
שיא,0
חתי,0
יקדס,0
ויחכי,0
אלפרקאן,0
וסאעה,0
בעד,0
אנקצ'א,0
אלסבעה,0
יס[תט'הר],0
בהא,0
ולא,0
יוכל,0
חמץ.,1
פתלך,0
אלת'מניה,0
אלתי,0
מן,0
[אלמעל,0
כמלה],0
והאתאן,0
אלסאעתאן,0
אבעאץ',0
אלא,0
אן,0
אלגמיע,0
פי,0
אלעדד,0
עשרה.,0
"(מבשר,",1
עמ',1
48-,1
49),1
