word,is_he
ואלמזמור,0
אלת'אני,0
הו,0
קול,0
תואעד,0
לאלד'י,0
יבארזון,0
אללה,0
באלכפר,0
"ואלמעאצי,",0
ואכ'תצר,0
מן,0
ג'מיע,0
ד'לך,0
עלי,0
מקאומהֿ,0
כ'ליפהֿ,0
אללה,0
פי,0
אלארץ'.,0
פסרת,0
"נוסדו,",1
"עצבה,",0
מת'ל,0
קולה,0
בהוסדם,1
יחד,1
"עלי,",1
בסודם,1
אל,1
תבא,1
"נפשי,",1
תסתירני,1
מסוד,1
מרעים,1
ואמת'אלהא.,0
וזדת,0
קבל,0
ננתקה,1
כלמה,0
מצ'מרה,0
מקאם,0
'לומר',1
עלי,0
מא,0
אוג'בה,0
אלמעני.,0
וזדת,0
ענד,0
אלאכ'ראג',0
ענד,0
יושב,1
בשמים,1
"פקלת,",0
וסאכן,0
אלסמא',0
חתי,0
אנתט'ם,0
אלאול,0
מע,0
"אלקול,",0
וד'לך,0
אן,0
קולה,0
למה,1
רגשו,1
גוים,1
ליס,0
הי,0
מסאלה,0
ואנמא,0
הו,0
לום,0
ילומהם,0
עלי,0
סו,0
"אכ'תיארהם,",0
לם,0
(ישגבה),0
[תצ'ג'],0
עליה,0
והוא,0
קאד'ר,0
אן,0
יג'עלהם,0
"צ'חכא,",0
והד'א,0
כקול,0
אלקאיל,0
לם,0
תכ'אלף,0
אלסלטאן,0
והו,0
יקדר,0
"עליך,",0
או,0
לם,0
תחתמל,0
אלצ'רב,0
ומצירך,0
אן,0
"תקר,",0
כד'לך,0
למה,1
רגשו,1
גוים,1
ויושב,1
בשמים,1
ישחק.,1
ועברת,0
ישחק,1
יצ'חך,0
"אלנאס,",0
וילעג,1
יהזו,0
"בהם,",0
עלי,0
מאת,0
תשהד,0
אלעקול,0
אן,0
אלפעל,0
אלמוצ'וע,0
אד'א,0
כאנהֿ,0
נסבתה,0
אלי,0
אללה,0
מן,0
אלמחאל,0
פקד,0
הו,0
ראג'ע,0
עלי,0
אלנאס,0
מן,0
חית',0
תסתעמל,0
"אללגה,",0
לאן,0
אג'ד,0
אלאבא,0
(ידלון),0
[יקלון],0
קולא,0
תג'דה,0
דאירא,0
מן,0
אלפ[א]על,0
אלי,0
"אלמפעול,",0
כקול,0
דניאל,1
ען,0
גבריאל,1
ויבן,1
וידבר,1
"עמי,",1
ויבן,1
עלי,1
כי,1
ה',1
קורא,1
"לנער,",1
וקאל,0
פי,0
אלשיך,0
אלד'י,0
מן,0
שומרון,1
ויראו,1
בניו,1
את,1
הדרך,1
אשר,1
הלך,1
איש,1
"האלהים,",1
ומת'ל,0
ויראו,1
בני,1
"ישראל,",1
ופי,0
יהוידע,1
קאל,0
וירא,1
אותם,1
[את,1
בן,1
המלך,1
ומת'ל,0
וירא,1
אותם],1
נער.,1
ופי,0
דוד,1
ויעל,1
עולות,1
ושלמים,1
ומת'ל,0
ויעל,1
אברם,1
ממצרים.,1
פלמא,0
כאן,0
ויעל,1
יקאל,0
צעד,0
"ואצעד,",0
וירא,1
יקאל,0
ראי,0
"ואורי,",0
ויבן,1
יקאל,0
פהם,0
"ואפהם,",0
כאן,0
איצ'א,0
ישחק,1
עלי,0
צ'חך,0
"ואצ'חך,",0
וילעג,1
עלי,0
הזו,0
"ויהזו,",0
ואד'א,0
וג'דנאה,0
מקוולא,0
עלי,0
אללה,0
[תרכ]נא,0
מא,0
לא,0
יג'וז,0
ואת'בתנא,0
מא,0
יג'וז.,0
וכד'אך,0
אלקול,0
וירח,1
ה',1
ויעל,1
"[מעליו,",1
וירד,1
ה'],1
מרדוד,0
אלי,0
אלמכ'לוק,0
לא,0
אלי,0
אלכ'אלק.,0
ופסרת,0
בני,1
אתה,1
"וליי,",0
עלי,0
מא,0
סלף,0
מן,0
בנים,1
אתם,1
לה',1
"אלהיכם,",1
שחת,1
לו,1
לא,1
בניו,1
"מומם,",1
ומא,0
שאכלהמא.,0
ופסרת,0
ילדתיך,1
"אנשיתך,",0
לאן,0
אלאבתדאאת,0
כלהא,0
יסמונהא,0
אלעבראניון,0
לידה,1
ותפסירהא,0
"נשאה,",0
מת'ל,0
קולה,0
בטרם,1
הרים,1
יולדו,1
ואלג'באל,0
לם,0
"תלד,",0
וקאל,0
קבל,0
ד'לך,0
אלה,1
תולדות,1
"השמים,",1
וקאל,0
בעד,0
ד'לך,0
כי,1
אם,1
הרוה,1
את,1
הארץ,1
"והולידה,",1
וקאל,0
פי,0
אלזמאן,0
כי,1
לא,1
תדע,1
מה,1
ילד,1
"יום,",1
ומא,0
נחי,0
הד'א,0
אלנחו.,0
ואשתק,0
תרועם,1
מן,0
קול,0
דניאל,1
כפרזלא,1
די,1
מרעע,1
כל,1
אלין,1
תדיק,1
"ותרע,",1
פג'עלתהא,0
דצ'א.,0
ואוג'ב,0
אלתמייז,0
קסמהֿ,0
אלאמם,0
בעץ',0
יהלך,0
ובעץ',0
יבקע,0
פאלהאלכון,0
[הם,0
אלמקוול,0
פיהם,0
ככלי,1
יוצר,1
תנפצם,1
ואלבאקיון],0
הם,0
אלמקוול,0
פיהם,0
ועתה,1
מלכים,1
השכילו.,1
ועברת,0
וגילו,1
ברעדה,1
וסרו,0
מת'ל,0
וכמריו,1
עליו,1
"יגילו,",1
השמחים,1
אלי,1
גיל.,1
ואלד'ין,0
(יעמלון),0
[יעלמון],0
מן,0
[אן],0
אלטרב,0
פי,0
לגהֿ,0
אלערב,0
יקע,0
עלי,0
חרכהֿ,0
אלפרח,0
[ואלחזן],0
אפסרה,0
להם,0
טרבא,0
ליחתמל,0
עלי,0
מעניין,0
אלד'י,0
לפט'הֿ,0
גיל,1
ואקעה,0
עליהם,0
פי,0
לג'ה,0
בני,0
אסראיל.,0
ותצריף,0
נשקו,1
מן,0
נשק,1
אלד'י,0
הו,0
סלאח,0
כקולה,0
(בעדה),0
ובערו,1
והשיקו,1
בנשק,1
ומגן.,1
וישתק,0
בר,1
מן,1
והזכותי,1
בבר,1
"כפי,",1
ואצרף,1
כבר,1
"סיגיך,",1
ואשבאההמא.,0
אכ'ד',0
פי,0
שרח,0
"אלמעאני,",0
קצד,0
פי,0
הד'א,0
אלפצל,0
ד'כר,0
אלנקמה,0
אלתי,0
תחל,0
"באלכאפרין,",0
ווצף,0
מן,0
פעלהם,0
אנהם,0
יקצדון,0
א(נ)טראח,0
אמר,0
אללה,0
ונהיה,0
ואמר,0
כ'ליפתה,0
ונהיה,0
כקולה,0
על,1
ה',1
ועל,1
"משיחו,",1
וקאל,0
ענהמא,0
ג'מיעא,0
ננתקה,1
את,1
"מוסרותימו,",1
וד'אך,0
אכ'תלאע,0
"אלאמר,",0
לאן,0
אלמוסרה,0
אלתי,0
הי,0
קרבוס,0
תחמל,0
עלי,0
אלענק.,0
ואנמא,0
ג'על,0
למסיחה,0
אמר,0
כאמרה,0
אן,0
אלסיאסה,0
ואלתדביר,0
לם,0
יחוט,0
אלכתאב,0
אמרהמא,0
וכ'ברהמא,0
