word,is_he
וק,0
יד,0
וקולה,0
ראתה,1
כי,1
אתה,1
עמל,1
וכעס,1
הו,0
מצ'אף,0
אלי,0
כלאם,0
אלט'אלם,0
וליס,0
הו,0
קול,0
אלנבי,0
ען,0
"נפסה,",0
ולא,0
ען,0
"אללה,",0
בל,0
חכאיה,0
למא,0
יקול,0
אלט'אלמין,0
אן,0
אלחכים,0
קד,0
ארתצ'א,0
אפעאלהם.,0
ת'ם,0
יקול,0
אלנבי,0
עליך,1
יעזב,1
"חלכה,",1
עלי,0
הד'ה,0
אלמשאהדאת,0
יתרך,0
אליתים,0
אלאסתעאנה,0
בך,0
אד'א,0
אסתגאת',0
מרארא,0
ולם,0
"תגית'ה,",0
וליס,0
הד'א,0
מן,0
אלנבי,0
איג'אב,0
עלי,0
אליתים,0
אן,0
יתרך,0
אלאסתעאנה,0
ולא,0
עד'ר,0
"לה,",0
בל,0
ד'לך,0
הו,0
וצף,0
מא,0
הו,0
פאעלה.,0
