word,is_he
הו,0
נפל,1
אשת.,1
פסוק,0
י,0
וקולה,0
בטרם,1
יבינו,1
"סירותיכם,",1
יעני,0
בה,0
אן,0
אלקום,0
אלט'אלמין,0
לא,0
ימהל,0
אללה,0
להם,0
חתי,0
יבאלגון,0
פי,0
"ד'לך,",0
בל,0
יעאג'להם,0
"אלעקאב,",0
כמא,0
אן,0
אלשוך,0
צגיר,0
ואלעוסג',0
כביר,0
פלא,0
ימהלה,0
חתי,0
יציר,0
עוסג'א,0
בל,0
יקלעה,0
והו,0
צגיר,0
מת'ל,0
קולה,0
ובליעל,1
כקוץ,1
מנד,1
"כלהם,",1
ויכון,0
ד'לך,0
עלי,0
תדביר,0
במקדאר,0
מא,0
יחתאג',0
מן,0
אלבעת'ה,0
פיקלעה,0
והו,0
קולה,0
כמו,1
חי,1
וכמקדאר,0
אסתחקאקהם,0
מן,0
אלעקובה.,0
ופסרת,0
"ישערנו,",1
"ינקלה,",0
מת'ל,0
קולה,0
ואסערם,1
על,1
כל,1
"הגוים,",1
ומת'ל,0
וישערהו,1
ממקומו.,1
