word,is_he
,0
כ'רוג',0
מן,0
אלשעבוד,0
קאל,0
פימא,0
מצ'י,0
[……],0
ואלכ'רוג',0
באליסאר,0
קאל,0
ויוציאם,1
בכסף,1
(?)[……],0
וכד'לך,0
פימא,0
יאתי,0
קאל,0
פיה,0
והיה,1
אדירו,1
ממנו,1
[ומש]לו,1
מקרבו,1
יצא,1
וט'הור,0
אלגואל,0
ויצא,1
חוטר,1
מגזע,1
ישי.,1
וט'הור,0
אלאסם,0
ואלד'כר,0
אלג'מלי,0
וכ'רוג',0
אלאסם,0
אלג'זוי,0
כ'ק',0
ויצא,1
שם,1
דויד.,1
ויצא,1
לך,1
שם,1
בגויים,1
ביפיך,1
וג',1
ואלכ'רוג',0
מן,0
אל,0
גלות,1
כי,1
בשמחה,1
תצאו,1
וג',1
לאמר,1
לאסורים,1
צאו.,1
וקד,0
יכון,0
כ'רוג',0
יג'מע,0
הדה,0
אלפצ'איל,0
ותדעו,0
אליה,0
גמיע,0
אלדעאוי,0
אלתי,0
קדמהתא,0
פי,0
אלחיואן,0
אלנאטק,0
וגיר,0
אלנאטק,0
כמא,0
נביין,0
ד'לך,0
פימא,0
בעד,0
והו,0
כ'רוג',0
יעקב,1
אבינו,1
עליה,0
אלסלאם.,0
תם,0
קאל,0
ויצא,1
יעקב.,1
וילך.,1
לימצ'י.,0
ויפגע.,1
וואפא,0
אלמוצ'ע,0
אלכ'אץ,0
אלמפצ'ל.,0
מראשותיו.,1
תוסדה.,0
אול,0
מא,0
נקול,0
עלי,0
מנאפע,0
אלאספאר,0
ללנאס,0
עאמה,0
וליעקב,1
אבינו,1
כ'אצה,0
וקסמה,0
אלאספאר,0
ותדביר,0
אלאספאר,0
ותעדיד,0
אלאוליא,0
אלמסאפרין,0
ועיון,0
מא,0
חדת',0
עלי,0
עהד,0
אספארהם,0
ואיתי,0
פי,0
ד'לך,0
במא,0
פיה,0
אקנאע.,0
ונקול,0
אן,0
פי,0
תכליף,0
אלאנביא,0
ואלאוליא,0
אלאספאר,0
ואלנקלה,0
מן,0
בלד,0
אלי,0
בלד,0
וג'וה,0
מן,0
אלמנאפע,0
והי,0
כה,0
וג'הא,0
אלאול,0
מנה,0
ימתחן,0
אלצאלחין,0
בד'לך,0
לעוצ'הם,0
עליה,0
כ'ק',0
לאבאינא,0
למען,1
ענותך,1
לנסותך,1
וגו',1
וכ'ק',0
זכרתי,1
לך,1
חסד,1
נעוריך,1
וגו',1
וכד'לך,0
אספאר,0
אלחגים,0
ליתיבהם,0
ויג'אזיהם,0
עלי,0
סעיהם,0
כ'ק',0
אלולי,0
כי,1
אתה,1
צעדי,1
תספור,1
וקאל,0
נודי,1
ספרת,1
את,1
וג',1
וקד,0
יכון,0
עקאבא,0
ותמחיצא,0
ללד'נוב,0
כ'ק',0
יולך,1
יי',1
אותך,1
ואת,1
מלכך,1
וגו',1
וקאלו,0
אלאבא,0
גלות,1
מכפרת,1
[……],1
קין,1
(?),1
נע,1
ונד,1
וכד'לך,0
גלות,1
הורג,1
נפש,1
[……],0
סה,0
סבב,0
כפרת,1
עונו,1
כ'ק',0
והיה,1
לנוס,1
שמה,1
כל,1
רוצח.,1
וקאל,0
נבי,0
מתהדדא,0
עלי,0
אלסרף,0
פי,0
אלמעאצי,0
לכן,1
גלה,1
עמי,1
מבלי,1
הדעת,1
וקד,0
יכון,0
ספרא,0
ישתרן,0
פיה,0
אלאמראן,0
ג'מיעא,0
אעני,0
אלמחנה,0
ואלעקובה,0
פיכון,0
לכל,0
קו',0
חסב,0
אסתחקאקהם,0
מת'ל,0
ספר,0
ישר',1
פי,0
אלמדבר,0
פאן,0
בעצ'הם,0
כאנו,0
בה,0
ממתחנין,0
ובעצ'הם,0
מעאקבין,0
וקד,0
וג'דנאה,0
יהדד,0
סאיר,0
אלאמם,0
באלג'לא,0
ען,0
וטנהם,0
כ'ק',0
ען,0
אדום,1
וען,0
בני,1
עמון,1
כי,1
מלכם,1
בגולה,1
ילך.,1
וקאל,0
הנה,1
דמשק,1
מוסר,1
מעיר.,1
והבאתי,1
אל,1
עילם.,1
וקאל,0
ען,0
קדר,1
נוסו,1
נודו,1
מאד,1
העמיקו,1
לשבת.,1
ואלד',0
טלב,0
אלדפא,0
ואלכן,0
ואלה',0
טלב,0
אלגדא,0
ואלשראב,0
ואסבאבה,0
(?),0
באלתג'איר,0
מת'ל,0
ספר,0
אבינו,1
אברהם,1
אלי,0
מצר,0
ואלהרב,0
מן,0
אלאדא,0
ומג'אורה,0
אהל,0
אלרדא,0
מת'ל,0
ספר,0
יעקב,1
ודויד,1
ולקא,0
אלאהל,0
ואלקראבאת,0
מת'ל,0
ספר,0
יעקב,1
אבינו,1
אלי,0
[……],0
מ[צר],0
כ'ק',0
ויסע,1
ישראל,1
וכל,1
אשר,1
לו.,1
וספר,0
משה,1
כ'ק',0
אלכה,1
נא,1
[ו]אשובה,1
אל,1
אחי,1
אשר,1
במצרים.,1
ואסתת'אבה,0
אלנאס,0
באלארדאע,0
מת'ל,0
ספר,0
יונה,1
אלי,0
ננוה.,1
ותעלים,0
יש',1
אלטאעאת,0
מת'ל,0
ספר,0
שמואל.,1
ולעמל,0
