word,is_he
,0
פסרת,0
ויפות,1
תואר,1
חסנאת,0
אלשיאת,0
ולם,0
אפסרה,0
חסנאת,0
אלחלי,0
לאן,0
לגה,0
אלערב,0
אסתעמלת,0
אלשיאת,0
פי,0
אלחיואן,0
גיר,0
אלנאטק,0
מקאם,0
אסתעמאלהם,0
אלחלי,0
פי,0
אל,0
נאטקין,0
ואראדו,0
בלפט',0
אלשיאת,0
אלואן,0
אלחיואנאת,0
אלתי,0
הי,0
אעראץ',0
ינפצל,0
בהא,0
בעצ'הא,0
מן,0
בעץ',0
ולמא,0
קאבלת,0
הד'ה,0
אלקצה,0
באלקצה,0
אלאולי,0
וג'דת,0
אלכ'לף,0
פיהא,0
עלי,0
צ'רבין.,0
אלצ'רב,0
אלאול,0
כ'לף,0
פי,0
אלפאט',0
הי,0
מתפקה,0
פי,0
אלמעני,0
וליס,0
ד'לך,0
מותר,0
לאנה,0
יג'וז,0
אן,0
יכון,0
למעני,0
ואחד,0
אלפאט',0
כת'ירה,0
תעבר,0
ענה.,0
וד'לך,0
קולה,0
פי,0
אלאולי,0
יפות,1
מראה,1
ופי,0
אלת'אניה,0
ויפות,1
תואר,1
וקולה,0
איצ'א,0
פי,0
אלאולי,0
בריאות,1
וטובות,1
ופי,0
אלת'אניה,0
מלאות,1
וטובות.,1
וקולה,0
איצ'א,0
פי,0
אלאולי,0
רעות,1
מראה,1
ודקות,1
בשר,1
ופי,0
אלת'אניה,0
דלות,1
ורעות,1
תאר,1
מאד,1
ורקות,1
בשר.,1
וקאל,0
איצ'א,0
פי,0
[……],0
אלאולי,0
ותאכלנה,1
הפרות,1
רעות,1
המראה,1
ודקות,1
הבשר,1
את,1
שבע,1
הפרות,1
יפות,1
המראה,1
והבריאות,1
וייקץ,1
פרעה.,1
וקאל,0
פי,0
אלת'אניה,0
ותאכלנה,1
הפרות,1
הרקות,1
והרעות,1
את,1
שבע,1
הפרות,1
הראשונות,1
הבריאות.,1
ואמא,0
קולה,0
ההנא,0
