word,is_he
,0
פי,0
אצ'אפתה,0
וצף,0
חיוה,0
יעקב,1
אבינו,1
אלי,0
אלמכאן,0
אלדי,0
עאש,0
פיה,0
אעלמנא,0
במפארקה,0
וצף,0
חיותה,0
וחיוה,0
אלאחיא,0
לוצף,0
חיוה,0
אלקדים,0
תעאלי,0
לאן,0
אלקדים,0
חי,0
לדאתה,0
לא,0
בחיוה,0
הי,0
גירה,0
וכק',0
וי'י,1
אלהים,1
אמת,1
הוא,1
אלהים,1
חיים,1
ומלך,1
עולם,1
וג',1
וכדלך,0
אלקול,0
פי,0
בעץ',0
צפאת,0
אלקדים,0
גל,0
ועז,0
נחו,0
אלעלם,0
ואלקדרה,0
ואמא,0
חיוה,0
גמיע,0
אלאחיא,0
פאנהא,0
גיריה,0
פיהם,0
ולדלך,0
נגדהא,0
תפארקהם,0
וכק',0
מן,1
החיים,1
אשר,1
המה,1
היים,1
עדנה,1
ומא,0
אלפאידה,0
פי,0
פצל,0
הדה,0
אלי'ז',0
סנה,0
מן,0
גמלה,0
עמרה,0
פנקול,0
אן,0
דלך,0
לתלתה,0
אסבאב,0
אלאול,0
אנה,0
כאן,0
פיהם,0
ארגד,0
ואנעם,0
עישא,0
ממא,0
תקדם,0
מן,0
עמרה,0
נחו,0
קולה,0
שמר,1
תם,1
וראה,1
ישר,1
כי,1
אחרית,1
לאיש,1
שלום,1
ואלתאני,0
אנהא,0
ואן,0
כאנת,0
אקל,0
ממא,0
מצ'א,0
מן,0
עמרה,0
עדדא,0
פאנהא,0
תואזיה,0
או,0
תזיד,0
עליה,0
קדרא,0
נחו,0
קולה,0
והיה,1
ראשיתך,1
מצער,1
ואחריתך,1
ישגה,1
מאד,1
ואלתאלת,0
אנהא,0
תואזי,0
מא,0
בקי,0
יוסף,1
ענדה,0
אלי,0
אן,0
כרג,0
וכק',0
יוסף,1
בן,1
שבע,1
עשרה,1
שנה,1
וג',1
ודכר,0
פי,0
קולה,0
ויהי,1
ימי,1
יעקב,1
וקולה,0
ויקרבו,1
ימי,1
ישראל,1
אגלאן,0
ליעקב,1
אבינו,1
כמא,0
הי,0
לגמיע,0
אלנאס,0
פאמא,0
קולה,0
ויהי,1
ימי,1
יעקב,1
פאראד,0
בה,0
אגל,0
חיותה,0
לאצ'אפתה,0
אליה,0
שני,1
חייו,1
ואמא,0
קולה,0
ויקרבו,1
ימי,1
ישראל,1
פאראד,0
בה,0
אגל,0
מותה,0
לאצ'אפתה,0
אליה,0
קולה,0
למות,1
נט'יר,0
קולה,0
ויקרבו,1
ימי,1
דויד,1
למות,1
ונחו,0
קולה,0
למשה,1
רבינו,1
הן,1
קרבו,1
ימיך,1
למות,1
ודלך,0
אן,0
אלאגל,0
פי,0
לגתנא,0
יקאל,0
לה,0
ימי,1
ודלך,0
כאגל,0
אלדיון,0
ואלאגרא,0
וכק',0
וכימי,1
שכיר,1
ימיו,1
וקאל,0
פי,0
אגל,0
אלולאדה,0
אעני,0
וקת,0
אלולאדה,0
וימלאו,1
ימיה,1
ללדת,1
וגיר,0
דלך,0
וכדאך,0
חקיקה,0
אגל,0
פי,0
לגה,0
אלערב,0
אנהא,0
אלאוקאת,0
פאגל,0
אלמות,0
הו,0
וקת,0
אלמות,0
ואגל,0
אלחיוה,0
הו,0
וקת,0
אלחיוה,0
ופי,0
קולה,0
ויקרבו,1
ימי,1
ישראל,1
למות,1
ינבגי,0
אן,0
נקול,0
אדא,0
כאן,0
אגל,0
מותה,0
קרב,0
פבאי,0
שי,0
עלם,0
יעקב,1
אבינו,1
קרבה,0
חתי,0
עמל,0
מא,0
עמלה,0
פנקול,0
אן,0
לעלמה,0
בדלך,0
וגהין,0
אחדהמא,0
אלתוקיף,0
נט'יר,0
קולה,0
ויאמר,1
י'י,1
אל,1
משה,1
הן,1
קרבו,1
ימיך,1
למות,1
ואלאכר,0
עט'ם,0
עלתה,0
וכופה,0
עלי,0
נפסה,0
מנהא,0
כק',0
לבי,1
יחיל,1
בקרבי,1
וג',1
וכאלקול,0
פי,0
הדא,0
אלקול,0
פי,0
דויד,1
המלך,1
בחית,0
יקול,0
ענה,0
ויקרבו,1
ימי,1
דויד,1
למות,1
ואמא,0
אכתצאצה,0
באלוציה,0
ליוסף,1
פי,0
קולה,0
ויקרא,1
לבנו,1
ליוסף,1
פלאסבאב,0
הי,0
אנבסאט,0
ידה,0
ותמכנה,0
מן,0
תנפיד,0
וציתה,0
ואמורה,0
וכתרה,0
טאעתה,0
לה,0
וקבולה,0
מנה,0
והדא,0
איצ'א,0
נט'יר,0
וציה,0
דויד,1
המלך,1
לשלמה,1
דון,0
באקי,0
אולאדה,0
למא,0
ראה,0
מן,0
נגאבתה,0
ונגאחה,0
פי,0
אלמלך,0
וחסן,0
קיאמה,0
בה,0
וכק',0
ויצו,1
את,1
שלמה,1
בנו,1
לאמר,1
וקולה,0
אם,1
נא,1
מצאתי,1
חן,1
בעיניך,1
עלמנא,0
אדב,0
מכאטבה,0
אלמלוך,0
ותרך,0
אלאדלל,0
עליהם,0
וכמא,0
כאטבת,0
אסתר,1
אלמלך,0
בקולהא,0
ואם,1
מצאתי,1
חן,1
לפניו,1
וג',1
בל,0
כמא,0
כאטב,0
גדעון,1
אלמלאך,0
בקולה,0
אם,1
נא,1
מצאתי,1
חן,1
בעיניך,1
ועשית,1
לי,1
אות,1
שאתה,1
מדבר,1
עמי,1
וקולה,0
שים,1
נא,1
ידך,1
תחת,1
ירכי,1
יקתצ'י,0
מענאיין,0
אחדהמא,0
אלזאמה,0
אלעהד,0
ואלימין,0
כוגוב,0
ברית,1
מילה,1
ואלאכר,0
קצד,0
אן,0
תכון,0
ידה,0
מע,0
ולדה,0
ונסלה,0
פי,0
כל,0
אמר,0
ודלך,0
מן,0
גנס,0
יוצאי,1
ירך,1
יעקב,1
ואמא,0
אקתראן,0
חסד,1
ואמת,1
פי,0
אוצאף,0
בני,1
אדם,1
פפי,0
מואצ'ע,0
כתירה,0
מנהא,0
פי,0
טלב,0
אלחאגה,0
כק',0
אם,1
ישכם,1
עושים,1
חסד,1
ואמת,1
את,1
אדני,1
וג',1
ומנהא,0
קולה,0
חסד,1
ואמת,1
יצרו,1
מלך,1
וג',1
והי,0
במעני,0
