word,is_he
,0
אלעליה,0
עליאנהא,0
(?),0
קאל,0
רבי',1
שמואל,1
גאון,1
בן,1
חפני,1
"ז""ל",1
"י""ב",1
אלא',0
אלצעיד,0
בהעלותך,1
לראות,1
וג',1
ואלב',0
אלאשעאל,0
והמשאת,1
החלה,1
לעלות,1
וק',0
אלתרג',0
באדלקותך,1
ית,1
בוציניא.,1
ואלג',0
זיאדה,0
ואת,1
עלית,1
על,1
כלנה.,1
ואלד',0
תקריב,1
עולות,1
מחים,1
אעלה.,1
ואלה',0
עאפיה,0
כי,1
אעלה,1
ארוכה.,1
ואלו',0
כאטר,0
אם,1
לא,1
אעלה,1
את,1
ירושלם.,1
ואלז',0
הבוב,0
מעלה,1
נשיאים.,1
ואלח',0
דני,0
ויהי,1
בעלות,1
המנחה.,1
ואלט',0
כלאץ,0
העלית,1
מן,1
שאול,1
נפשי.,1
ואלי',0
עלו,0
שאן,0
וראיתני,1
כתור,1
המעלה.,1
"ואלי""א",0
ארתפאע,0
ובהעלותו,1
יסעו.,1
"ואלי""ב",0
זואל,0
ויהי,1
בהעלות,1
חיל,1
כשדים,1
ויעל,1
מעליו,1
אלהים,1
וג'.,1
