word,is_he
יע,0
ואסתעארתה,0
ללהדם:,0
פסוק,0
7.,0
כי,1
מאתנן,1
זונה,1
קבצה,1
ועד,1
אתנן,1
זונה,1
ישובו.,1
מכאן,0
מא,0
לם,0
יסם,0
פאעלה,0
מת'ל,0
ופתחו,1
שעריך,1
תמיד,1
(ישעיה,1
ס',1
"י""א)",1
או,0
מכאן,0
אלאנפעאל,0
והו,0
ראג'ע,0
עלי,0
אלפסילים,0
ואלעצבים,0
אלמתקדמהֿ,0
"אלד'כר,",0
וקיד,0
קיל,0
אן,0
קבצה,0
ראג'ע,0
אלי,0
שמרון,1
וינקץ,0
מנה,0
אלעאיד,0
עליה,0
אד',0
לא,0
בד,0
מן,0
אותם,0
אלד'י,0
פיה,0
צ'מיר,0
אלפסילים,0
ואד',0
לם,0
יכן,0
בד,0
מן,0
אלתקדיר,0
פאלמג'אז,0
אלאול,0
אקרב,0
ענדי.,0
וממא,0
יויד,0
כונה,0
פעל,0
לא,0
יסם,0
פאעלה,0
ואלכסר,0
מכאן,0
אלצ'ם,0
מתל,0
ויישם,1
בארון,1
(בראשית,1
ג',1
"כ""ו)",1
קאל,0
אלתרגום,0
פיה,0
אתכנשו,1
והד'ה,0
עבארהֿ,0
מא,0
לם,0
יסם,0
פאעלה,0
מת'ל,0
והכה,1
ומת,1
(שמות,1
"כ""ב",1
א'),1
ויתמחי,1
וימות,1
וגירה,0
והו,0
מטרד,0
פי,0
אלנבטיה:,0
