word,is_he
"ע""א",1
בסם,0
אללה,0
אלעטים,0
כתאבי,0
אטאל,0
אללה,0
בקא,0
מולאי,0
אלשיך,0
ואדאם,0
עזה,0
ותאידה,0
וסעאדתה,0
וסלאמתה,0
ונעמתה,0
מן,0
אלאסכנדריה,1
ללנצף,0
מן,0
סיואן,0
ואלחאל,0
סלאמה,0
אנעמנא,0
בבקא,0
מולאי,0
אלשיך,0
אדאם,0
אללה,0
עזה,0
ואלמזיד,0
ללה,0
רב,0
אלעאלמין,0
תקדם,0
כתאבי,0
אליה,0
צחבה,0
מנצור,0
אלפיג,0
[…]ה,0
כתאב,0
ואלד,0
אלחזאן,0
למולאי,0
אל,0
חאבר,0
אדאם,0
אללה,0
עזה,0
בכט,0
[…],0
ונסך,0
גדה,0
עטימה,0
[…],0
ישכצני,0
פיה,0
למצר,0
לאנה,0
[…],0
שיך,0
מא,0
פיה,0
מא,0
יסאפר,0
אחיב,0
מנה,0
יתפצ'ל,0
ענד,0
וצול,0
מול[א]י,0
אלנגיד,0
אלאגל,0
ומולי,0
אלחאבר,0
אדאם,0
אללה,0
עלוהם,0
יוקפהם,0
עלי,0
אלכתאב,0
ליעלמו,0
אן,0
האיי,0
אלרגול,0
פי,0
קלבה,0
מני,0
גרץ',0
דכרת,0
אלי,0
מולי,0
אלשיך,0
אדאם,0
אללה,0
עזה,0
חמל,0
אלרחל,0
אלדי,0
לה,0
פי,0
האיי,0
אלסנה,0
מרכב,0
בן,0
אסכנדר,0
אלי,0
סקליה,0
ברקלין,0
צקט,0
אלמרכב,0
אלכביר,0
ו',1
אעדאל,0
כתאן,0
מרכב,0
מפצ'ל,0
ה',1
אעדאל,0
כתאן,0
וברקלין,0
צקט,0
ועלאוה,0
מראכב,0
אלמהדיה,0
מרכב,0
אלאמיר,0
פכר,0
אלערב,0
ממא,0
כאן,0
באסכנדריה,0
כאצתה,0
ברקלו,0
פלפל,0
מרכב,0
נאצר,0
אלדולה,0
(דלול),0
ממא,0
כאן,0
באסכנדריה,0
(גמלה),0
כלטה,0
ברקלו,0
פלפל,0
וכאצתה,0
ברקלו,0
ניל,0
כלטתה,0
מע,0
אשר,0
ברקלו,0
וקד,0
חמלת,0
צחבה,0
אלכהן,0
אלפאסי,0
אלמעגר,0
ואלרדתין,0
ואקף,0
פי,0
מרכב,0
אלאמיר,0
נאצר,0
אלדולה,0
וריסה,0
בן,0
אלקני,0
וחמלת,0
צחבה,0
אלכהן,0
איצ'א,0
אלגראב,0
אללאזורד,0
אלדי,0
לבן,0
אזהר,0
כמא,0
רסם,0
וכתבת,0
ללשיך,0
אבו,0
אלחסן,0
אעלמתה,0
במא,0
תצל,0
אליה,0
וקד,0
אקלע,0
פי,0
אלאול,0
מרכב,0
בן,0
אלקני,0
ובן,0
אסכנדר,0
ואלריח,0
אליום,0
שרקי,0
ואלחסאב,0
עליהום,0
אנהם,0
אליום,0
עדאו,0
