word,is_he
אלג'ואב,0
ואמא,0
ג'ואב,0
אלמסאלהֿ,0
אלת'אלת'הֿ,0
פהו,0
אן,0
ליס,0
ענדנא,0
מצות,1
עשה,1
לא,0
יכון,0
פי,0
תעטילהא,0
לא,1
תעשה,1
ילזם,0
עלי,0
תבטילהא,0
כרת,1
גיר,0
פסח,1
ומילה,1
פקט,0
לאן,0
לם,0
יג',0
קט,0
פי,0
פסח,1
ולא,0
פי,0
מילה,1
לא,1
תעשה,1
בל,0
עשה.,1
אמא,0
אלאכל,0
פי,0
יום,1
הכפורים,1
פהו,0
עשה,1
ולא,1
תעשה,1
אמא,0
אלעשה,0
אלד'י,0
פיה,0
פתצריח,0
ועניתם,1
את,1
נפשתיכם,1
ואמא,0
אללא,0
תעשה,1
פהו,0
כי,1
כל,1
הנפש,1
אשר,1
לא,1
תעונה,1
בעצם,1
היום,1
הזה,1
פצאר,0
במנזלהֿ,0
מלאכה,1
בשבת,1
אלד'י,0
הו,0
עשה,1
ולא,1
תעשה,1
ואלכרת,0
אנמא,0
לזם,0
עלי,0
ארתכאב,0
לא,1
תעשה.,1
ולקד,0
כאן,0
יתסע,0
אן,0
יקאל,0
אן,0
קולה,0
כי,1
כל,1
הנפש,1
אשר,1
לא,1
תעונה,1
מת'ל,0
קולה,0
וערל,1
זכר,1
אשר,1
לא,1
ימול,1
את,1
בשר,1
ערלתו,1
ויכון,0
אלחיוב,0
עלי,0
תבטיל,0
אלעשה,0
כמא,0
תוהמת,0
לולא,0
מא,0
בינה,0
אלנקל,0
אנה,0
לא,1
תעשה,1
צ'רורהֿ,0
עלי,0
מא,0
שרח,0
פי,0
אלמצוה,0
אלמופיהֿ,0
מאיהֿ,0
ותסעין,0
מן,0
מצות,1
לא,1
תעשה.,1
ואיצ'א,0
פפרק,0
כביר,0
בין,0
אלמילה,0
ובין,0
אלעינוי,0
וד'לך,0
לאן,0
אלמילה,0
מצות,1
עשה,1
ואד'א,0
עטלת,0
הד'ה,0
אלמצוה,0
ליס,0
תעטילהא,0
בפעל,0
יפעל,0
הו,0
אלסבב,0
פי,0
אלתעטיל.,0
ואלעינוי,0
ביום,1
הכפורים,1
מצות,1
עשה,1
אד'א,0
עטלת,0
כאן,0
תעטילהא,0
בפעל,0
יפעל,0
וד'לך,0
אלפעל,0
אלמעטל,0
להא,0
הו,0
אלמנהי,0
ענה,0
בקולה,0
תעאלי,0
כי,1
כל,1
הנפש,1
אשר,1
לא,1
תעונה,1
עלי,0
מא,0
בינה,0
"אלנקל,",0
וליס,0
יתסע,0
אן,0
יקאל,0
פי,0
תעטיל,0
אלמילה,0
או,0
אלפסח,0
אנה,0
לא,1
תעשה,1
לאן,0
ליס,0
פי,0
הד'א,0
אלתעטיל,0
פעל,0
יכון,0
מנהיא,0
ענה,0
כמא,0
בינא.,0
פהד'א,0
יקצ'יה,0
אלקיאס,0
מצ'אף,0
אלי,0
מא,0
ורד,0
בה,0
אלנקל,0
אלצחיח,0
והד'ה,0
נכתהֿ,0
עג'יבהֿ,0
ופרק,0
דקיק,0
פתאמלה,0
חק,0
תאמלה,0
ואחפט',0
אלאצל,0
אלד'י,0
קלתה,0
לך,0
אולא,0
והו,0
אנא,0
לא,0
נסתדל,0
במא,0
ידל,0
עליה,0
מג'רד,0
אלנץ,0
בל,0
כמא,0
ידל,0
אלנץ,0
ואלנקל,0
ג'מיעא,0
פאן,0
הד'א,0
אלאצל,0
אלצחיח,0
הו,0
אלד'י,0
תרתפע,0
בה,0
ג'ל,0
אלשכוך,0
בל,0
כלהא,0
אלטאריהֿ,0
פי,0
אלנצוץ,0
פלא,0
תנסאה,0
לאנה,0
פי,0
אלפקה,0
עמוד,1
שהכל,1
נשען,1
עליו,1
ויתד,1
שהכל,1
תלוי,1
בו.,1
ובאלג'מלהֿ,0
הד'ה,0
מסאיל,0
תדל,0
עלי,0
ג'ודהֿ,0
תצור,0
ואללה,0
אלמסדד,0
ללצואב.,0
וכתב,1
אברהם,1
ביר',1
משה,1
"זצו""ל.",1
