word,is_he
,0
והשאלה,1
השלישית,1
על,1
קריאת,1
ממזר,1
וחירוף,1
והקללה.,1
דבר,1
זה,1
קטני,1
התלמידים,1
ידעו,1
התשובה,1
הקורא,1
לחבירו,1
ממזר,1
סופג,1
את,1
הארבעים,1
והמקלל,1
את,1
חבירו,1
בשם,1
לוקה,1
ארבעים,1
ושלא,1
בשם,1
פטור,1
מן,1
המלקות,1
וראוי,1
ליסר,1
אותו,1
כמו,1
שיראו,1
הדינים,1
ואין,1
מלקות,1
אלא,1
בעדים,1
והתראה,1
"ואע""פ",1
כן,1
ראוי,1
ליסר,1
החוטא,1
עד,1
שישוב,1
מחטאו,1
ויבקש,1
מחילה,1
מן,1
הנעלב,1
והמבזה,1
את,1
החכמ',1
אין,1
לו,1
חלק,1
[לעולם,1
הבא],1
ולא,1
חרבה,1
ירושלם,1
עד,1
שביזו,1
בה,1
תלמ',1
חכמ',1
והמקלל,1
את,1
הרבים,1
מעכב,1
"תשובה,",1
[דהיינו,1
אין,1
תשובתו,1
מקובלת,1
לפני,1
הבורא,1
ית',1
דהוא,1
"מכ""ד",1
דברים,1
המעכבים,1
את,1
התשובה],1
אוי,1
להם,1
לרתחנים,1
כמה,1
הם,1
גורמין,1
עוונות,1
לעצמן,1
שומר,1
פיו,1
ולשונו,1
שומר,1
מצרות,1
נפשו.,1
הלא,1
מפורש,1
בתלמוד,1
שיהושפט,1
מלך,1
יהודה,1
"ע""ה",1
כשהיה,1
רואה,1
תל',1
חכמ',1
היה,1
עומד,1
מכסאו,1
ומנשקו,1
ומחבקו,1
ומושיבו,1
בצדו,1
וקורא,1
לו,1
רבי,1
ומרי,1
והוא,1
נשיא,1
ומלך,1
באמת.,1
