word,is_he
,0
שאלה,1
פי,0
ראובן,1
לה,0
סדס,0
פי,0
דאר,0
משאע,0
גיר,0
"מקסום,",0
ואחתאג',0
אלי,0
ביעה,0
פאעלם,0
שריכה,0
צ'רורהֿ,0
אחתיאג'ה,0
אלי,0
אלביע.,0
פאעלמה,0
אנה,0
פי,0
אשד,0
צ'איקהֿ,0
מנה,0
ואן,0
ליס,0
מעה,0
מא,0
ישתרי,0
בה,0
מנה,0
ואבאח,0
לה,0
אן,0
יביע,0
נציבה,0
לכל,0
מן,0
יריד,0
מן,0
אליהוד,0
פאשהרה,0
פי,0
בתי,1
כנסיות,1
עדהֿ,0
דפוע,0
ורפעה,0
לסמסאר,0
אליהוד,0
ותרדד,0
בה,0
מדהֿ,0
מדידהֿ,0
ולם,0
יתפק,0
לה,0
יהודי,1
ישתרי,0
מנה,0
ואלג'אתה,0
אלצ'רורהֿ,0
אלצ'ארהֿ,0
ואלצ'איקהֿ,0
אל[…],0
[……],0
