word,is_he
אלג'ואב,0
קאל,0
פי,0
אלערוך,0
פי,0
ערך,1
פן,1
אן,0
פנים,1
חדשות,1
חתי,0
ואחד,0
ויבארכו,0
ענד,0
חצ'ורה,0
שבע,1
ברכות.,1
מעני,0
אכ'ר,0
אד'י,0
אג'תמע,0
עשרה,1
בית,1
חתנים,1
לאלאכל,0
פאן,0
לם,0
יכון,0
ת'ם,0
פנים,1
חדשות,1
בירכו,1
אשר,1
ברא,1
ששון,1
ושמחה,1
ואן,0
כאן,0
ת'ם,0
פי,0
ג'מלהֿ,0
י',1
פנים,1
חדשות,1
בירכו,1
שבע,1
ברכות.,1
ואלד'י,0
אנקלה,0
מן,0
אבא,1
מרי,1
"זצ""ל",1
אן,0
פנים,1
חדשות,1
לא,0
יכונו,0
אקל,0
מן,0
את'נין,0
לאן,0
פנים,1
ג'מע,0
ואקל,0
אלג'מע,0
פי,0
לגתנא,0
את'נין,0
מן,0
קו',0
והם,1
יקחו,1
את,1
"הזהב,",1
אלד'י,0
הם,0
בצלאל,1
"ואהליאב,",1
וקאלו,0
מיעוט,1
"אחד,",1
רבים,1
שנים.,1
וכד'י,0
יבין,0
מן,0
אהבה,1
לקו',0
"ז""ל",1
אבל,1
אם,1
היו,1
האוכלין,1
שם,1
אחרים,1
מיעוט,1
או[כ]לין,1
שנים,1
ומסמוע,0
אחרים,1
ג'מאעהֿ,0
ואקל,0
אלג'מע,0
את'נין,0
כמא,0
תקדם.,0
