word,is_he
אלג'ואב,0
הכ'ד'א,0
ג'רת,0
אלעאדהֿ,0
פי,0
אלמעאמלאת,0
בין,0
אלנאס,0
ולולא,0
ד'לך,0
לבטלת,0
אכת'ר,0
אלמעאיש,0
וליס,0
הד'א,0
ענדי,0
אבק,1
רבית,1
לאסתג'ראר,0
אלמעאמלהֿ,0
ואנמא,0
אבק,1
רבית,1
אן,0
יכון,0
מת'לא,0
אלפלפל,0
עשרהֿ,0
ארטאל,0
בדינאר,0
באלנקד,0
פאשתראה,0
שכ'ץ,0
תסעהֿ,0
ארטאל,0
בדינאר,0
בשרט,0
אן,0
יצבר,0
מדהֿ,0
כד'א,0
מעינהֿ,0
ובעד,0
אנקצ'א,0
אלמדהֿ,0
דפע,0
לה,0
אלת'מן,0
אלמקרר,0
או,0
טאלבה,0
אלבאיע,0
בה,0
הד'א,0
הו,0
אבק,1
רבית,1
אמא,0
האולא,0
אללד'י,0
יקסטון,0
דאימא,0
עלי,0
באעהֿ,0
אלדכאכין,0
ברבח,0
מעלום,0
פליס,0
הוא,0
אבק,1
רבית,1
בל,0
ישבה,0
ענדי,0
תלהפה,0
לאחצ'אר,0
אלבצ'אעהֿ,0
ותקצ'יהא,0
אולא,0
אולא.,0
וכתב,1
משה.,1
