word,is_he
,0
ילמדנו,1
רבנו,1
פי,0
ראובן,1
תזוג',0
באמראהֿ,0
ולהא,0
עלי,0
בעלהא,0
שטר,1
כתובה,1
ופיה,0
אלנדוניא,0
מת'בותהֿ,0
נכסי,1
צאן,1
ברזל,1
פאפתקר,0
אלזוג',0
פאכ'ד',0
אלנדוניא,0
ארהנהא,0
עלי,0
מבלג,0
מא,0
ולם,0
תערף,0
בה,0
אלזוג'הֿ,0
ולם,0
יערפהא,0
אלבעל,0
אנה,0
אכ'ד',0
אלקמאש,0
לירהנה,0
בעד,0
מדהֿ,0
טוילה,0
טלבת,0
אלקמאש,0
פאנכשף,0
להא,0
אלאמר,0
אן,0
זוג'הא,0
אכ'ד'ה,0
וארהנה,0
ענד,0
שמעון,1
פמצ'ת,0
אלזוג'הֿ,0
אלי,0
שמעון,1
טאלבתה,0
באלקמאש,0
קאל,0
להא,0
שמעון,1
אלמסתרהן,0
יג'י,0
זוג'ך,0
ידפע,0
לי,0
מא,0
וזנת,0
לה,0
עלי,0
הד'א,0
אלקמאש,0
לאנה,0
ארהנה,0
ענדי,0
ויתסלמה,0
תורנו,0
הדרתו,0
הקדושה,0
מא,0
אלג'ואב,0
ען,0
ד'לך,0
ושכרו,1
כפול,1
מן,1
השמים.,1
