word,is_he
אלג'ואב,0
יג'וז,0
לה,0
אן,0
יזוג',0
קבל,0
אלוקת,0
אלמחדוד,0
לנשואין,0
בהד'ה,0
וענד,0
מא,0
יריד,0
אלדכ'ול,0
בהד'ה,0
אלממלכהֿ,0
אמא,0
אן,0
יטלק,0
הד'ה,0
אלתי,0
תזוג'הא,0
או,0
ידפע,0
מא,0
אשרט,0
עלי,0
נפסה,0
חיניד',0
בשרט,0
אן,0
יכון,0
ד'לך,0
אלשרט,0
לאזם,0
לה,0
בקנין,1
במעכשיו,1
חתי,0
לא,0
תכון,0
אסמכתא,0
ויכון,0
איצ'א,0
פי,0
מלכה,0
ענד,0
אכ'ד',0
אלקניין,0
כ'מסין,0
דרהמא,0
פמא,0
זאד,0
נקרהֿ,0
פצ'הֿ,0
אמא,0
אן,0
לם,0
תכון,0
ענדה,0
נקרהֿ,0
פצ'הֿ,0
פלא,0
ילזמה,0
שי,0
ולו,0
כאן,0
ימלך,0
מאלא,0
מדידא,0
ד'הב,0
ומלבוס,0
ונחוה,0
חתי,0
יכון,0
פי,0
מלכה,0
עין,0
אלפצ'הֿ,0
לאן,0
אלאצל,0
אלמטרד,0
אין,1
אדם,1
מקנה,1
לחבירו,1
דבר,1
שלא,1
בא,1
לעולם.,1
[וכתב],1
משה.,1
