word,is_he
,0
ילמדנו,1
רבינו,1
פי,0
ראובן,1
ושמעון,1
תקדמא,0
אלי,0
מושב,1
בית,1
דין,1
וטען,0
ראובן,1
אן,0
לה,0
ענד,0
שמעון,1
ת'מן,0
קטעתין,0
ניל,0
הנדי,0
"מ""ב",1
דינא',1
תסלמהם,0
מן,0
מכ'זנה,0
עלי,0
חכם,0
אלביע,0
ואלשרי,0
ות'מנהם,0
ענדה,0
פי,0
אלד'מהֿ,0
דין,0
אלי,0
אלאן,0
פסאל,0
אלחאכם,0
שמעון,1
פאג'אב,0
אנני,0
מן,0
נחו,0
"י""ו",1
סנה,0
ערץ',0
לי,0
ספר,0
אלי,0
סקליהֿ,0
וכאן,0
ענד,0
ראובן,1
קנטאר,0
ות'לת',0
ניל,0
ת'מנה,0
עליה,0
"ל""ז",1
דינא',1
ות'לת',0
דפעה,0
לי,1
סתם,1
ולם,0
נחק,0
הל,0
ניתה,0
פיה,0
עלי,0
סביל,0
אלקראץ',0
או,0
עלי,0
סביל,0
אלרסאלהֿ,0
ואן,0
כאן,0
קראץ',0
הל,0
עלי,0
חכם,0
אלגוים,0
אם,0
עלי,0
חכם,0
אליהוד,0
ונעלם,0
יקין,0
אני,0
לם,0
אכ'ד'ה,0
מנה,0
ביע,0
ושרי,0
פי,0
אלד'מהֿ,0
ת'ם,0
סאפרת,0
ולקי,0
אלמרכב,0
אלשואני,0
ואסרת,0
(!),0
ופדית,0
נפסי,0
ועדמת,0
שיי,0
ושי,0
אלנאס,0
ג'מיע,0
פאוג'ב,0
אלחאכם,0
עלי,0
שמעון,1
שבועה,1
דאוריתא,1
אנה,0
מא,0
אכ'ד',0
ד'לך,0
אלניל,0
ביע,0
ושרי,0
דין,0
פי,0
אלד'מהֿ,0
ואוג'ב,0
עלי,0
ראובן,1
ימין,0
אן,0
מא,0
אעטאה,0
ד'לך,0
עלי,0
חכם,0
אלרסאלהֿ,0
ת'ם,0
בעד,0
ד'לך,0
ינט'ר,0
פיה,0
עלי,0
חכם,0
אלקראץ',0
סתם,0
במא,0
יג'ב,0
עלי,0
שמעון,1
תורנו,0
הדרתו,1
הקדושה,1
מא,0
ילזם,0
פי,0
ד'לך,0
מן,0
אחכאם,0
אלקראץ',0
ולאימאן,0
עלי,0
מרתבהמא,0
והל,0
לשמעון,1
מחילה,1
ושמיטה,1
אם,1
לא,1
ושכרו,1
כפול.,1
