word,is_he
,0
ותורנו,1
הדרתו,1
אן,0
אלתלמידי',0
ג'עלוא,0
להם,0
נובהֿ,0
(?),0
פי,0
אלתאליף,0
וקד,0
תנכת,0
להם,0
נכת,0
יטאלבוא,0
אלחצ'רהֿ,0
תביינהא,0
וד'לך,0
מא,0
ד'כרת,0
פי,0
הלכות,1
תעניות,1
אן,0
יקאל,0
ענינו,1
פי,0
מנחה,1
ערב,1
הצום,1
פי,0
אלהקבלה,0
כיף,0
אן,0
יקאל,0
ביום,1
צום,1
התענית,1
הזה,1
והו,0
גירה,0
אד',0
ד'כר,0
אן,0
יקאל,0
גיר,0
ד'א,0
ואיצ'א,0
עיר,1
המוציאה,1
"ת""ק",1
רגלי,1
הל,0
ד'לך,0
כ'ציץ,0
אן,0
יכונוא,0
ישראל,1
ועלי,0
הד'א,0
אלשרט,0
יסתמר,0
אלקול,0
פי,0
אלג'מיע,0
אם,0
הם,0
וגירהם,0
ואיצא,0
מא,0
ד'כרתמוה,0
פי,0
"פ""ו",1
מן,0
הלכות,1
יסודי,1
התורה,1
וכן,1
השורף,1
עצי,1
הקדש,1
דרך,1
השחתה,1
לוקה,1
שנא',1
ואשריהם,1
תשרפון,1
באש,1
וגו',1
ותבין,0
לנא,0
הד'ה,0
אלעצים,0
מא,0
הי,0
הל,0
הי,0
שג'ר,0
אם,0
בניאן,0
אם,0
חטב,0
מלקא,0
ואיצ'א,0
פי,0
הלכות,1
דעות,1
כל,1
המנהיג,1
עצמו,1
בדרכים,1
אלו,1
שהורינו,1
בחרק,1
או,1
בצרי,1
שהורינו,1
אד',0
חצל,0
פי,0
ד'לך,0
כ'לאף,0
ואלצחיח,0
מא,0
הו,0
ושלום,1
הדרתו.,1
