word,is_he
מסאלהֿ,0
מא,0
תקול,0
הרב,1
רבי',1
ואדונינו,1
י'ל',1
פי,0
קול,0
רב,1
חסדא,1
לרב,1
יוסף,1
פי,0
מס',1
כתובו',1
פרק,1
נערה,1
שנתפתתה,1
מי,1
שמיע,1
לך,1
מיניה,1
דרב,1
יהודה,1
ארוסה,1
יש,1
לה,1
מזונות,1
או,1
לא,1
וכו',1
כיון,1
דאירסה,1
לא,1
ניחא,1
ליה,1
דתינול.,1
וקאל,0
אלרב,0
פי,0
הלכות,1
וקא,1
פסקי,1
רבנן,1
כי,1
האי,1
לישנא,1
בתרא,1
והני,1
מילי,1
לאחר,1
שנים,1
עשר,1
חדש,1
ואלמשנה,0
תסאעדנא,0
עלי,0
ד'לך,0
לאן,0
למא,0
קאלת,0
אלמשנה,0
נותנין,1
לבתולה,1
שנים,1
עשר,1
חדש,1
וכו',1
הגיע,1
זמן,1
ולא,1
נשאו,1
אוכלות,1
משלו,1
לם,0
תכ'צץ,0
ד'לך,0
במי,1
שיש,1
לה,1
אב,1
ויהיה,1
על,1
זה,1
הדרך,1
היתומה,1
מיום,1
אשר,1
תתארס,1
בו,1
כרב,1
אשר,1
ההלכה,1
כמותו,1
עד,1
זמן,1
אשר,1
יתבע,1
הבעל,1
אותה,1
ואחר,1
תביעתו,1
"י""ב",1
חדש.,1
ואפי',1
ישאר,1
משעת,1
אירוסין,1
לא,1
יתבע,1
אותה,1
י',1
שנים,1
תשאל,1
על,1
הפתחים,1
או,1
תאכל,1
מהנכסים,1
אשר,1
הם,1
מיוחדים,1
לפרנסתה,1
ורבי',1
ואדונינו,1
"י""ל",1
אומר,1
בס',1
נשים,1
בהלכות,1
אישות,1
"פי""ט",1
המארס,1
בת,1
הנזונת,1
מן,1
האחים,1
חייב,1
במזונותיה,1
משעת,1
אירוסין.,1
תורנו,1
רבינו,1
מה,1
אצלך,1
בזה.,1
ואם,1
אין,1
נראין,1
לכבודך,1
דברי,1
רבינו,1
יצחק,1
מה,1
היא,1
הסבה,1
בזה.,1
ובאיזה,1
דבר,1
כבודך,1
דוחה,1
את,1
דבריו,1
ושכרך,1
כפול,1
מן,1
השמים.,1
