word,is_he
אלג'ואב,0
הד'א,0
אלפעל,0
כ'טא,0
ולא,0
יחל,0
בוג'ה,0
וחרמאנה,0
ענדנא,0
מן,0
ג'התין,0
אחדאהמא,0
אנה,0
לא,0
יכתב,0
מן,0
אלתורה,0
פסוקי',1
פסוקים,1
בל,0
יכתב,0
ת'לת',0
כלמאת,0
לא,0
גיר,0
ולא,0
אכת'ר,0
ואד'א,0
אלתג'א<נא>,0
ללאסתדלאל,0
בפסוק,0
גירנא,0
אלכ'ט,0
ואשכלנאה,0
או,0
נכתב,0
מן,0
כל,0
תיבה,0
חרפא,0
או,0
חרפין,0
ובאלג'מלהֿ,0
בעץ',0
אלתיבה,0
או,0
נכתב,0
בסירוגין,0
חתי,0
אלד'י,0
אג'אז,0
אן,0
תכתב,0
פרשה,1
לתינוק,1
להתלמד,1
בה,1
אנמא,0
ד'לך,0
לצ'רורהֿ,0
אלתעלים,0
לאן,0
לא,1
נתנה,1
תורה,1
להכתב,1
פרשיות,1
פרשיות,1
פכיף,0
פסוק,1
פסו',1
פלעל,0
יט'ן,0
ט'אן,0
אנמא,0
יחרם,0
אד'א,0
כאן,0
כתיבה,1
על,1
הספר,1
בדיו,1
ונחוה,0
אמא,0
אד'א,0
כאן,0
ד'לך,0
נקשא,0
פי,0
כ'שב,0
או,0
ד'הב,0
ונחוה,0
או,0
רקם,0
פי,0
ת'וב,0
פד'לך,0
ג'אז,0
פליעלם,0
אנה,0
לא,0
פרק,0
בין,0
אלכתאבהֿ,0
ואלנקש,0
כמא,0
תבין,0
פי,0
אלגט,0
ותבין,0
איצ'א,0
פי,0
הד'א,0
אלמעני,0
אלנהי,0
מן,0
קולהם,0
אף,1
היא,1
עשת,1
טבלה,1
שלזהב,1
שפרשת,1
שוטה,1
כתובה,1
עליה,1
וד'לך,0
כאן,0
נקשא,0
פי,0
לוח,0
ד'הב,0
ומנה,0
כאן,0
יסתמלי,0
אלכהן,0
ויכתב,0
על,0
הספר,0
ואעתרץ',0
אלתלמוד,0
עלי,0
הד'א,0
