word,is_he
,0
ותורנו,0
פי,0
ראובן,1
ושמעון,1
בינהמא,0
דאר,0
נצפין,0
באלסוא,0
משאע,0
גיר,0
מקסום,0
והי,0
סכנין,0
עלי,0
וספל,0
תקאררא,0
באן,0
יסכן,0
אלואחד,0
סנהֿ,0
ויכרי,0
אלאכ'ר,0
סהמה,0
סנהֿ,0
וירג'עוא,0
עלי,0
אלבדל,0
יסכן,0
אלואחד,0
סנהֿ,0
ויכרי,0
אלאכ'ר,0
סהמה,0
סנהֿ,0
פלמא,0
פנית,0
אלסנהֿ,0
כ'לא,0
אלסאכן,0
ותחול,0
אלשריך,0
מוצ'עה,0
אכרי,0
אלאכ'ר,0
סהמה,0
ללגוים,0
בעד,0
מערפתה,0
אן,0
מא,0
לה,0
ד'לך,0
ואן,0
אלשרע,0
ימנעה,0
ותטרק,0
עלי,0
אלדאר,0
פסאד,0
פי,0
אלקימהֿ,0
ואלסכן,0
ויכ'שא,0
מן,0
אלנזל,0
ללא,0
יתטרק,0
עלי,0
אלדאר,0
ויתמנעוא,0
סכנאהא,0
ויחצל,0
אלארש,0
פי,0
ת'מנהא,0
הל,0
לשריכה,0
אן,0
יקול,0
לה,0
אמא,0
אן,0
תסכן,0
מעי,0
נצון,0
מלכנא,0
ג'מיע,0
ואמא,0
אן,0
נסכן,0
אנא,0
אלג'מיע,0
במא,0
יתקום,0
ולא,0
יתטרק,0
עלי,0
אלדאר,0
אלפסאד,0
אם,1
לא,1
ומא,0
ילזמה,0
פי,0
תעדיה,0
עלי,0
אלכרא,0
ללגוים,0
בעד,0
אלתקנה,0
אלמשהורהֿ,0
ומא,0
חצל,0
מן,0
גראמהֿ,0
איש,0
חכמהא,0
תורנו,0
במא,0
פי,0
ד'לך,0
ושכרה,0
כפול,1
מן,1
השמים.,1
