word,is_he
אלג'ואב,0
אד'א,0
אכ'ד',0
אלג'לד,0
בג'מלתה,0
ודבג,0
אלדבאג,0
אלכאמל,0
אעני,0
מליח,0
וקמיח,0
ועפיץ,0
פהו,0
יתסמי,0
חיניד',0
גויל,1
וגויל,1
הו,0
אסם,0
אלשי,0
אלד'י,0
לם,0
יסוי,0
ולא,0
אזיל,0
מנה,0
שיא,0
עלי,0
ג'ההֿ,0
אלתעדיל,0
ואלתסויהֿ,0
ולד'לך,0
יסמון,0
אבני,0
דלא,0
משפיין,0
גויל,0
ואבני,0
דמשפיין,0
גזית,0
ואד'א,0
אכ'ד',0
אלג'לד,0
ושק,0
פי,0
גלט'ה,0
כמא,0
יפעל,0
בה,0
אלד'ין,0
יצנעון,0
אלרקוק,0
ואכ'רג',0
מנה,0
אלקסט,0
אלרקיק,0
אלד'י,0
ילי,0
מוצ'ע,0
אלצוף,0
מן,0
אלבהימהֿ,0
ודבג,0
איצא,0
דבאגא,0
כאמלא,0
מליח,1
וקמיח,1
ועפיץ,1
פהו,0
יתסמי,0
דוכסוסטוס,1
ואלג'ז,0
אלת'אני,0
מנה,0
והו,0
אלאגלט',0
והו,0
אלד'י,0
יעמל,0
מנה,0
אלרק,0
הו,0
אלד'י,0
אד'א,0
דבג,0
דבאגא,0
כאמלא,0
מליח,0
וקמיח,0
ועפיץ,0
יתסמי,0
קלף,1
והד'א,0
אלקלף,0
לא,0
יכתב,0
פיה,0
אי,0
שי,0
יכתב,0
אלא,1
במקום,1
בשר,1
והוא,1
אלוג'ה,0
אללאצק,0
באללחם,0
מן,0
אלבהימהֿ,0
והד'א,0
אלדוכסוסטוס,0
לא,0
יג'וז,0
אן,0
יכתב,0
פיה,0
אלא,0
אלמזוזה,0
כ'אצהֿ,0
ומוצ'ע,0
אלכתאבהֿ,0
פיה,0
במקום,1
שער,1
והו,0
אלוג'ה,0
אלד'י,0
כאן,0
מנבת,0
פיה,0
שער,1
אלבהימהֿ,0
או,0
צופהא,0
לא,0
אלוג'ה,0
אלאכ'ר,0
אלד'י,0
כאן,0
לאצק,0
בט'הר,0
אלקלף,0
והד'ה,0
אלרקוק,0
אלמוג'ודהֿ,0
פי,0
אזמנתנא,0
אלמשהור,0
צורתהא,0
לא,0
יג'וז,0
אן,0
יכתב,0
פיהא,0
שי,0
לא,1
ספר,1
תורה,1
ולא,1
תפלין,1
ולא,1
מזוזה,1
לאנה,0
ג'לד,0
גיר,0
מדבוג,0
דבאגא,0
כאמלא,0
לאנה,0
לא,0
עפיץ,0
פאן,0
כאן,0
דבג,0
בשי,0
קאבץ',0
מת'ל,0
אלעפץ,0
ואלקרץ',0
(?),0
ונחוהמא,0
חיניד',0
יתסמי,0
קלף,1
ויג'וז,0
אן,0
יכתב,0
פיה,0
ספר,1
תורה,1
ותפלין,1
ומזוזות,1
וג'מיע,0
ד'לך,0
במקום,1
בשר,1
כמא,0
ד'כרנא,0
והו,0
אלוג'ה,0
אלאביץ',0
מן,0
אלרק,0
לאכן,0
בעד,0
אלדבאג.,0
וכתב,1
משה.,1
