word,is_he
מסאלהֿ,0
מא,0
יקול,0
מרנו,1
ורבנו,1
משה,1
הרב,1
הגדול,1
בישראל,1
אב,1
החכמה,1
המסולה,1
מאורם,1
ופלאם,1
ואח,1
התבונה,1
מודע,1
התעודה,1
אור,1
ישראל,1
ויהודה,1
ירום,1
הודו,1
ויגדל,1
כבודו,1
פי,0
מראהֿ,0
כאנת,0
תזוג'ת,0
בבר,1
ישראל,1
מן,0
בני,1
מקרא,1
עלי,0
חכם,0
מד'הב,0
אלקראיין,0
ת'ם,0
אנפרדת,0
מנה,0
עלי,0
חכמהם,0
איצ'א,0
ת'ם,0
עאדת,0
אליה,0
עלי,0
מד'הב,0
"רז""ל",1
בכתובה,1
וקידושין,1
כתקון,1
חכמים,1
ובעד,0
הד'א,0
אעתמד,0
אלבעל,0
מצ'אג'רתהא,0
ותמם,0
עליהא,0
ואחצ'רהא,0
אלי,0
מקדם,0
אלקראיין,0
ואקני,0
מנהא,0
ואשהד,0
ליהא,0
קום,0
מן,0
אלקראיין,0
אנהא,0
קד,0
אפתרדת,0
מנה,0
ואוהבתה,0
אלמוכ'ר,0
אלד'י,0
עליה,0
בכתובתה,0
אלמכתובהֿ,0
עליה,0
במד'הבהם,0
"ז""ל",1
וט'ן,0
אלבעל,0
אנהא,0
קד,0
באנת,0
ענה,0
וברית,0
ד'מתה,0
מן,0
חקוקהא,0
ירשדנא,0
מרנו,1
ורבנו,1
ירום,1
הודו,1
אן,0
כאן,0
אלבעל,0
קד,0
באן,0
ענהא,0
ואעפי,0
מן,0
אלכתובה,0
בחכם,0
מא,0
אקני,0
מנה<א>,0
ואשהד,0
עליה<א>,0
ענד,0
מקדם,0
אלקראיין,0
או,0
אן,0
תכון,0
אלמראהֿ,0
מתעלקהֿ,0
אלי,0
אלאן,0
פי,0
עצמתה,0
ולהא,0
אן,0
תלתמס,0
מן,0
בעלהא,0
אלמאוחר,0
אלד'י,0
להא,0
עליה,0
בכתובתה,1
ואן,0
אלשרע,0
ימצ'י,0
טלאק,0
אלקראיין,0
אם,0
לא,0
ושלום,1
הדרתו,1
ושלום,1
כל,1
ישראל,1
ירבה,1
נצח,1
סלה.,1
